code,description
1860,Abrasive paper or cloth preparation
1748,Abrasive wheel manufacturing
4693,Absorbent cotton manufacturing
8803,"Accountant, auditor or factory cost or office systematizer-traveling"
2305,Acetate textile fiber
3724,Acetylene gas machine installation
4635,Acetylene gas manufacturing
3634,Acetylene torch manufacturing
5020,Acoustical ceiling installation
5479,Acoustical material installation
3574,Adding machine manufacturing
8800,Addressing or mailing companies & clerical
9101,Adjustment training centers-all other employees
8868,Adjustment training centers-professional employees and clerical
9101,Adult day care centers-all other employees
8868,Adult day care centers-professional employees & clerical
9554,Advertising co. away from shop
9521,Advertising display installation service
9501,Advertising display service
2812,Advertising displays manufacturing-wooden
7380,Advertising material distribution-mobile & door to door-
4452,Advertising sign manufacturing-celluloid
8742,Advertising solicitors
4361,Aerial photographer-ground laboratory employees-
2111,Aerosol products packaging
3224,Agate or enamel wear manufacturing
8010,Agricultural implement stores-not farm machinery
3507,Agricultural machinery manufacturing
3126,Agricultural tool manufacturing-hand
8102,Agronomists-research and development of new seeds
9519,"Air conditioners-portable-installation, service or repair-residential"
2288,Air conditioning filter media manufacturing-nonwoven
8010,Air conditioning parts store
8380,"Air conditioning-automobile-installation, service or repair"
8601,Air conditioning-non-portable-air flow balancing & testing
3724,Air conditioning-non-portable-machinery installation
5183,Air conditioning-non-portable-plumbing
5190,"Air conditioning-non-portable-servicing, cleaning, oiling or adjusting-"
5538,Air conditioning-non-portable-sheet metal work
9519,Air conditioning-portable-installation or service-
3574,Air pressure or steam gauge manufacturing
3400,Air rifle manufacturing-metal stamped parts
8810,Air traffic controller
3826,Aircraft engine manufacturing
3040,Aircraft landing mats manufacturing-by welding
7423,Aircraft operation-fixed wing NOC-. All other than flying crew
7422,Aircraft operation-fixed wing NOC-flying crew
7423,Aircraft operation-helicopters NOC-. All other than flying crew
7425,Aircraft operation-helicopters NOC-flying crew
7425,Aircraft operation-helicopters-sky crane work-flying crew
7360,Aircraft or automobile-preparing and crating for shipment
7423,"Aircraft or helicopter aerial application, seeding, herding or scintillometer surveying-. All employees other than flying crew"
7409,"Aircraft or helicopter aerial application, seeding, herding or scintillometer surveying-flying crew"
7420,Aircraft or helicopter aerial forest fire fighting-flying crew
7422,Aircraft or helicopter air ambulance
7423,Aircraft or helicopter air carrier-commuter-. All other than flying crew
7431,Aircraft or helicopter air carrier-commuter-flying crew
7403,Aircraft or helicopter air carrier-scheduled or supplemental-. All other than flying crew
7405,Aircraft or helicopter air carrier-scheduled or supplemental-flying crew
7422,Aircraft or helicopter flight testing by manufacturer-manufactured under an approved type certificate-flying crew
7422,"Aircraft or helicopter operation: aerial advertising, flying crew"
7425,Aircraft or helicopter operation: aerial logging operations flying crew
7422,"Aircraft or helicopter operation: aerial photography, flying crew"
7423,Aircraft or helicopter operation: air carrier-commuter: all other employees
7422,Aircraft or helicopter operation: parachute jumping conducted by licensed skydiving schools
7420,Aircraft or helicopter operation: parachute jumping for public exhibition-flying crew
7418,"Aircraft or helicopter operation: patrol, photography mapping or survey work: flying crew (AK, MO)"
7425,"Aircraft or helicopter operation: sky crane operations, flying crew"
7423,"Aircraft or helicopter: patrol, photography-mapping or survey work. All other employees"
7422,"Aircraft or helicopter: patrol, photography-mapping or survey work-flying crew"
7423,Aircraft or helicopter: public exhibition involving stunt flying racing or parachute jumping . All employees other than flying crew
7420,Aircraft or helicopter: public exhibition involving stunt flying racing or parachute jumping-flying crew
7423,Aircraft or helicopter: sales or service agency . All other than flying crew
7422,Aircraft or helicopter: sales or service agency-flying crew
7421,Aircraft or helicopter: transportation of personnel in conduct of employer's business-flying crew
7423,Aircraft or helicopter: transportation of personnel in conduct of employer's business-ground crew personnel-
5474,Aircraft painting
8046,Aircraft parts and accessories store
3821,Aircraft salvaging-
8810,Airline or helicopter-ticket sellers away from airport
3830,Airplane manufacturing
2790,Airplane propeller manufacturing-wood
3076,"Airplane subassemblies manufacturing-metal cowling, wing, tabs, & aileron, etc."
2883,Airplane subassemblies manufacturing-wood
3803,Airplane wheel manufacturing
3635,Airplane-cam & gear manufacturing
2790,Airplane-model kit manufacturing (high grade)
4902,Airplane-model kit manufacturing (toy)
6217,Airport construction-grading
5506,Airport construction-paving
7423,Airport or heliport operator-
5506,Airport runway construction-concrete or cement-
7720,Airport security screening of passengers by contractor
5506,Airport warming apron construction-concrete or cement-
1803,Alabaster turning or carving-
8350,Alcohol dealers-bulk-including drivers
2130,Alcohol manufacturing-grain-all operations
2130,Alcohol manufacturing-potato-all operations
1472,Alcohol manufacturing-wood
2157,Ale bottling-
7390,Ale or beer dealer-wholesale
2014,Alfalfa dehydrating or milling
0035,Algae farming-
9180,Alligator exhibition-
0170,Alligator farms-
3648,Alternator manufacturing
3373,Aluminum coating of steel wire
5403,Aluminum siding installation (all types except those eligible for Codes 5645 or 5651)
5645,Aluminum siding installation-detached one- or two-family dwellings
5651,Aluminum siding installation-dwellings-three stories or less in height
5645,Aluminum storm doors or windows installation
3227,Aluminum ware manufacturing
5102,Aluminum windows or doors-not storm-installation
7370,Ambulance service companies -all other than garage employees
8385,Ambulance service companies-garage employees
9180,Amusement device operation NOC-not traveling
9186,"Amusement device operator, carnival or circus-traveling-all employees"
5192,"Amusement machines-coin operated, installation, service or repair-"
9016,Amusement park or exhibition operation
4511,Analytical chemist
0050,Anhydrous ammonia-application to soil by contractors
8350,Anhydrous ammonia-sale and distribution
2220,Animal hair twisting-for upholstering use
9186,Animal show-traveling
3372,Anodizing metal articles
7612,"Antennae installation-microwave, on towers"
3681,Antennae manufacturing
3548,Anti-aircraft gun manufacturing
5951,"Anti-toxin, serum or virus manufacturing"
9012,Apartment property managers and leasing agents
0034,Apiaries-
1624,Aplite rock quarry-
8044,Appliance (major) store-wholesale-incidental sale of minor appliances-
8018,Appliance (minor) store-wholesale-incidental sale of major appliances
4131,"Appliance glass manufacturing-used in microwave ovens, display panels and video games"
2576,Apron manufacturing from canvas material
4130,Aquarium manufacturing-glass
4902,Archery equipment manufacturing
9016,Archery range
8601,Architect or engineer-consulting
2790,Architectural scale model building
9016,Arena or stadium for boxing or wrestling matches
9016,"Arena or stadium for ice shows, boat shows, automobile shows"
9016,"Arena or stadium for rodeos, circuses, dolphin exhibitions"
9182,Arena or stadium for team sports events
3620,Armor plate processing
7720,Armored car service company-
3548,Arms manufacturing NOC
3574,Arms manufacturing-small
3126,Artesian well tool manufacturing
0083,Artificial insemination of cattle-. All other than professional employees
8831,Artificial insemination of cattle-professional employees-
4693,Artificial limb manufacturing
4036,Artificial marble manufacturing-
4692,Artificial teeth manufacturing
5506,Artificial turf installation-surface preparation only-
0042,Artificial turf-installation only-
3548,Artillery cannon manufacturing
5102,"Artistic metal erection work-plaques, facades, facings"
8810,Artists (refer to scope for restrictions)
1852,Asbestos cement or shingle manufacturing
5473,Asbestos contractor-NOC
5472,Asbestos contractor-pipe and boiler work exclusively
1852,Asbestos goods manufacturing
1852,Asbestos pipe covering manufacturing-from sheet asbestos-no asbestos weaving
1165,Asbestos-surface mining-
3400,Ash can manufacturing-metal stamped parts
9403,"Ashes, garbage or refuse collection"
5506,Asphalt laying on top of already constructed highway-
4741,Asphalt or tar distilling or refining
4021,Asphalt paving bricks manufacturing-
4493,Asphalt tile manufacturing
1463,Asphalt works -operated by paving contractors at permanent location
5506,Asphalt works -operated by road paving contractors at temporary location
5506,Asphalt-spraying roads with liquid asphalt-
1165,Asphalt-surface mining-
3685,Assay balance manufacturing
4511,Assaying
9040,Asylum-all other than professional employees
8833,Asylum-professional employees
9182,"Athletic team or park : all employees other than players, coaches, managers or umpires"
9179,"Athletic team or park: contact sports-players, coaches, managers or umpires"
9178,"Athletic team or park: non-contact sports-players, coaches, managers or umpires"
9181,"Athletic team or park: players, coaches, managers, or umpires (MO)"
9984,Atomic energy project work
9985,Atomic energy radiation exposure NOC
8820,"Attorney-all employees & clerical, messengers, drivers"
8017,Auctioneers
7605,Audio or intercommunication system installation-within buildings-
4923,Audio or visual recording media manufacturing
9516,"Audio, radio, television or video equipment installation service or repair"
9016,Auditoriums or exhibition hall
8803,"Auditors, accountant or factory cost office systematizer-traveling"
8810,Auditors-performing audits at their employer's locations
7219,Auto rental or leasing co.-drivers of trucks NOC or other commercial
3145,Automatic screw machine products manufacturing
3634,Automatic sprinkler head manufacturing
5188,Automatic sprinkler installation
5192,"Automatic teller machines installation, service or repair-& salespersons, drivers"
3146,Automobile accelerator assembly manufacturing
8046,Automobile accessory store retail-NOC
8393,Automobile body repair
3632,Automobile brake drums-reconditioning & relining-drums removed from vehicle by others
8380,Automobile brake repair-
3303,Automobile bumper manufacturing
3303,Automobile bumper-straightening & repair
8380,Automobile car wash
3146,Automobile choke manufacturing
3632,Automobile clutch rebuilding-clutch removed from vehicle by others
2576,Automobile convertible top manufacturing
3300,Automobile cushions or seat manufacturing
3821,Automobile dismantling
3827,Automobile engine manufacturing
3632,Automobile engine rebuilding-engine removed from vehicle by others
2288,Automobile floor mat manufacturing from felt or felt-like material
8380,Automobile glass installation-
7317,Automobile haulaway or driveaway-driving cars on or off vessels
7228,Automobile haulaway or driveaway-local hauling only-
7229,Automobile haulaway or driveaway-long distance hauling-
4111,Automobile headlight lens manufacturing
3179,Automobile horn manufacturing-electric
8380,Automobile inspection stations-
2288,Automobile interior trim manufacturing from felt or felt-like material
3632,Automobile jack manufacturing-not stamped
8380,Automobile leasing company-long-term-all other employees and drivers
8748,Automobile leasing company-long-term-sales employees
3808,Automobile manufacturing or assembly
8380,Automobile muffler repair-
8392,Automobile parking lot
3400,Automobile parts manufacturing-miscellaneous stamped parts such as fenders
3632,Automobile piston manufacturing
3807,Automobile radiator manufacturing
8380,Automobile radiator repair-no manufacturing-
8002,Automobile rental company . all other than garage employees
8385,Automobile rental company: garage employees
8391,"Automobile repair shop & parts department employees drivers (LA, MO, OK, RI, WI)"
7228,Automobile repossession operations-local hauling only-
7229,Automobile repossession operations-long distance hauling-
8380,Automobile sales agency
8380,"Automobile sales or service agency & parts department employees, drivers"
8748,Automobile salespersons
2501,Automobile seat cover manufacturing
8380,Automobile service or repair center
8387,"Automobile service station  (HI, LA, MO, NC, NJ, OK, RI, WI)"
8392,Automobile storage garage or parking station
9186,Automobile stunt show
8393,Automobile sunroof installation
3146,Automobile throttle rod manufacturing
7228,Automobile towing company-local hauling only-no other operations
7229,Automobile towing company-long distance hauling-no other operations
2812,Automobile trailer manufacturing-home-type
3803,Automobile wheel manufacturing-metal-not cast
3146,Automobile window and trim molding manufacturing
8380,Automobile window tinting-
3822,"Automobile, bus, truck or trailer body manufacturing: die-pressed steel"
3824,"Automobile, bus, truck or trailer body manufacturing: other than die-pressed steel"
9505,"Automobile, bus, truck or trailer body manufacturing: painting"
9522,"Automobile, bus, truck or trailer body manufacturing: upholstering"
9516,"Automobile: radio, audio, television or video equipment installation, service or repair"
3648,Automotive electrical apparatus repair-no removal from installation in or repair of vehicles
3648,"Automotive lighting, ignition or starting apparatus manufacturing NOC"
3632,"Automotive machine shops-no work on cars-including cylinder reboring, valve grinding, turning down brake drums, etc."
8046,Automotive replacement parts distributors-wholesale
0034,Aviaries-
5102,Awning erection: canvas products
5538,Awning erection-metal-
5538,Awning manufacturing & erection of metal awnings-
2576,Awning manufacturing: canvas products
3076,Awning manufacturing-metal-no erection work
2576,Awning or tent manufacturing-shop
5102,"Awning, tent or canvas goods erection, removal or repair"
3126,Ax and sledgehammer manufacturing
4557,Axle grease manufacturing
3632,Axle unit assembling or manufacturing
3865,Baby carriage manufacturing
8835,Baby-sitting service
2576,Bag manufacturing from canvas material
4273,Bag manufacturing-paper or plastic
2578,Bag or sack manufacturing-cloth
2578,Bag renovating
8017,Bakeries-retail store sales
2003,"Bakery , route supervisors"
6504,Baking powder manufacturing
5040,"Balcony erection-iron or steel, exterior"
3040,Balcony fabrication-iron or steel-
3507,Baling press manufacturing-hydraulic
3638,Ball or roller bearing manufacturing
1624,Ballast rock quarry-
7422,Balloonist-hot air
4693,Bandage manufacturing-weaving to be separately rated
7720,"Bank and trust company contractors-not employees of banks or trust companies-including contracted services such as guards, 
                                                patrols, messengers, armored car crews"
8810,Banks and trust companies
7380,Banks and trust companies: armored car crews  (bank employees-not contractors)
8833,Banks and trust companies: dispensary employees
9015,"Banks and trust companies: employees engaged in care custody or maintenance-including night watch guards, elevator operators and starters"
5191,Banks and trust companies: office machine repair employees
4299,Banks and trust companies: printing employees
8742,"Banks and trust companies: special officers and armed or unarmed attendants, ushers, door attendants, appraisers, field auditors, runners or messengers"
9084,"Bar, discotheque, lounge, nightclub or tavern"
8018,Barber or beauty parlor supply houses
9586,"Barbershop, beauty parlor or hair styling salon"
6854,Barge building-iron or steel-State Act-
6843,Barge building-iron or steel-U.S. Act-
2702,Bark peeling in connection with logging-
4207,Bark peeling in paper mills-chemical process
4206,Bark peeling in paper mills-ground wood process
2702,Bark peeling-contractors-for pulpwood-
2710,Barking mills
2014,Barley milling
2881,Barrel assembly
2881,Barrel dealers including repairing-wood
2915,Barrel manufacturing-wood veneer-incl. veneer manufacturing
2916,Barrel manufacturing-wood veneer-no veneer manufacturing
3400,Barrel or drum manufacturing-steel-metal stamped parts
3400,Barrel or drum-steel-reconditioning or repair
2735,Barrel stock manufacturing
2841,Baseball bat manufacturing
9016,Baseball batting range
4902,Baseball mask manufacturing
4902,Baseball manufacturing
9178,Baseball team
2731,Baseboard manufacturing-wood
2913,Basket manufacturing-willow ware
2915,Basket manufacturing-wood veneer-incl. veneer manufacturing
2916,Basket manufacturing-wood veneer-no veneer manufacturing
9178,Basketball team
9015,Bathhouse-beach
3081,Bathtub manufacturing-enameled iron-
3643,Battery charger manufacturing
3642,Battery manufacturing-dry
3647,Battery manufacturing-storage
1747,Bauxite grinding-
9402,Beach cleaning-
8102,Bean sorting or handling
9586,Beauty parlor
9586,Beauty school with commercial shops
8018,Beauty supply sales-wholesale
2881,Bed assembling-wood
3300,Bed spring or wire mattress manufacturing
0035,Bedding plant growers
0005,Bedding plant growers  (applies only to plants not contemplated by 0035)
3076,Bedstead manufacturing or assembly-metal
0034,Bee raising-
8017,Beer and ale dealers-retail
5183,"Beer and soft drink dispensing equipment, cleaning"
2157,Beer bottling-
5183,Beer coil cleaning-
5183,Beer drawing equipment-cleaning and installation-
7390,Beer or ale dealer-wholesale-
3726,Beer vat coating with chemicals
2021,Beet sugar manufacturing
9534,Bell installation-tower-
4410,Belt manufacturing-rubber
2157,"Beverage manufacturing-carbonated-NOC & route supervisors, drivers"
6504,"Beverage powders-dry mix, blend, package"
3865,Bicycle manufacturing or assembly
8010,Bicycles-retail sale or rental-including repair
9554,Bill posting
9089,Billiard hall
2883,Billiard table manufacturing
4150,Binocular manufacturing
3315,Bird cage manufacturing
3114,Bits-power tool manufacturing-drop or machine forged
3113,Bits-power tool manufacturing-not drop or machine forged
3111,Blacksmith
0035,Blanket or wreath manufacturing-evergreen-
5057,Blast furnace erection
1438,Blast furnace operation
5022,Blast furnace repair and relining-masonry
4777,Blasting agents-preparation or distribution
6217,Blasting rock-specialist contractors-
2802,Bleacher manufacturing-wood-
3179,Blender manufacturing-household
4361,Blueprint duplication service-
4923,Blueprint paper manufacturing
5146,"Board installation-chalk, bulletin or cork"
9052,Boarding houses
7038,Boat livery-boats under 15 tons-Program I
7090,Boat livery-boats under 15 tons-Program II-State Act
7050,Boat livery-boats under 15 tons-Program II-USL Act
9016,Boat rental in parks (not boat liveries)
7016,Boat testing-newly constructed vessels-Program I
7024,Boat testing-newly constructed vessels-Program II-State Act
7047,Boat testing-newly constructed vessels-Program II-USL Act
3822,Boat trailer manufacturing-die-pressed steel
3824,Boat trailer manufacturing-no die-pressed steel
6824,Boatbuilding or repair -coverage under the Longshore Act
6834,Boatbuilding or repair -coverage under the State Act
6811,Boatbuilding-wood-NOC-State Act
6801,Boatbuilding-wood-NOC-U.S. Act -U.S. Act
2841,Bobbin and spool manufacturing-wood
5022,Boiler brick work-installation or repair
9014,Boiler cleaning-residential
8720,Boiler inspection
3726,Boiler installation or repair-steam
3175,Boiler manufacturing-cast iron for heating purposes
5183,Boiler or steam pipe insulating
3726,Boiler scaling
3620,Boilermaking
5183,Boilers-domestic-installation or repair-
3132,Bolt or nut manufacturing
3632,Bomb case manufacturing
4452,Bone or ivory goods manufacturing
4307,Bookbinding
3548,Bookbinding or printing machine manufacturing
7380,Bookmobile drivers
8072,Bookstore-retail
8018,Bookstore-wholesale
2660,Boot or shoe manufacturing NOC
4410,Boot or shoe manufacturing-rubber
4282,Boot or shoe pattern manufacturing
4568,"Borax, potash or salt producing or refining"
8264,Bottle dealer-used-
8350,Bottle gas dealer-
4114,"Bottle manufacturing-milk, soft drink"
8264,Bottle recycling-beverage-
2157,"Bottling NOC & route supervisors, drivers"
2157,Bottling of wine-carbonated-
2156,Bottling of wine-not carbonated-
2156,"Bottling-not carbonated liquids or spirituous liquors-& route supervisors, drivers"
2131,Bottling-spirituous liquor-not beer or wine
9093,Bowling lane
5437,Bowling lane refinishing
2883,Box manufacturing-cigar-wood
4243,Box manufacturing-folding paper-NOC
4240,Box manufacturing-set up paper
2841,Box manufacturing-wood frames for traveling or luggage bags
2759,Box or box shook manufacturing-wooden
4279,Box or case lining manufacturing-from waterproof paper for export packing
2570,Box spring or mattress manufacturing
9015,Boy and girl scout councils-camp operations-overnight sleeping
8810,Boy and girl scout councils-clerical office employees
8869,Boy and girl scout councils-day camp operations-all other employees
9059,Boy and girl scout councils-day camp operations-professional employees
8742,Boy and girl scout councils-executive secretaries-office and travel
4693,Braces for the handicapped manufacturing
2380,Braid or fringe manufacturing
4557,Brake fluid manufacturing
8380,Brake service or repair-
2130,Brandy distillery
3315,Brass or copper goods manufacturing
3027,"Brass plate, sheet, strip or coil stock manufacturing-"
2016,Breakfast food manufacturing
6003,Breakwater construction-consisting wholly of pile driving
6005,Breakwater or jetty construction-all operations to completion
8279,Breeding farm or stable
2121,Brewery
4024,Brick manufacturing-fire or enameled-
4021,Brick or clay products manufacturing NOC
5022,"Brick work-installation, repair or cleaning"
5067,Bridge building-metal (MO)
5403,Bridge construction-wood
9019,Bridge or vehicular tunnel operation
2835,Brush or broom assembly
2841,Brush or broom handle manufacturing
2836,Brush or broom manufacturing NOC
3315,Buckle manufacturing-brass or copper
3131,"Buckle manufacturing-metal (not brass, copper or silver)"
3383,Buckle manufacturing-silver
3372,Buffing and polishing-small articles-shop only-no manufacturing
2576,"Buffing or polishing cloth, cloth disks or cloth wheel manufacturing"
4557,Buffing or polishing compounds manufacturing
2802,Building beam or column manufacturing-wood-
5022,Building caulking
8058,Building material dealer-store employees
8232,"Building material dealer-yard, warehouse -all other than store employees"
4511,Building material research or analytical laboratory
8204,"Building material yards-used-all employees, local managers, drivers"
2802,Building manufacturing-portable-wood
9012,"Building operation by owner, lessee, or real estate management firm: professional employees, property managers and leasing agents & clerical, salespersons"
4283,Building or roofing paper or felt preparation-no installation
5703,Building raising or moving
9014,Buildings-operation by contractors
9015,"Buildings-operation by owner, lessee or real estate management firm: all other employees"
6003,Bulkhead construction-consisting wholly of pile driving
3400,Bullet clip manufacturing-metal stamped parts
7605,Burglar alarm installation or repair
9522,Burial garment manufacturing and casket or coffin upholstering
5022,Burial vault installation-no manufacture
3040,Burial vault manufacturing-metal-
4034,Burial vaults (concrete) manufacture and installation
7382,Bus companies -all employees other than garage employees
8385,Bus companies-garage employees
3827,Bus engine manufacturing
3808,Bus manufacturing or assembly-entire vehicle
8810,Bus terminal ticket sellers
2081,Butchering
5538,Butler bins-
2070,"Butter or cheese manufacturing & route supervisors, drivers"
4717,Butter substitute manufacturing
2070,Buttermilk manufacturing-
4484,Button manufacturing NOC
3131,Button manufacturing-campaign or convention
3131,Button or fastener manufacturing-metal
8235,Cabinet dealer-kitchen-
2883,Cabinet manufacturing for audio or visual device
2881,Cabinet works-no power woodworking machinery
2812,Cabinet works-with power machinery
5190,Cable installation
6325,"Cable laying-by specialist contractors employing automatic equipment which, in one operation, opens the trench, lays the cable and backfills"
1924,Cable manufacturing or wire drawing-not iron or steel
4470,Cable manufacturing-insulated-electrical
3240,Cable or wire rope manufacturing-iron or steel
7612,"Cable TV or telephone line installation-contractors, overhead and drivers"
7613,"Cable TV or telephone line installation-contractors, service lines and connection and drivers"
7611,"Cable TV or telephone line installation-contractors, underground and drivers"
6325,Cable TV-cable installation-plow-in method-
8901,Cable TV-clerical office employees
5040,Cable TV-erection of main receiving or transmitting tower
7600,Cable TV-extension of service into homes
7600,Cable TV-service or repair of existing cables
7601,Cable TV-stringing of cable on existing utility poles-
9060,Caddy-employee of country club
9052,Caddy-employee of hotel
9060,Caddy-independent contractor
3257,Cage manufacturing-wire
6252,Caisson work-all operations to completion
1438,Calcium carbide manufacturing
3574,Calculator manufacturing
4923,Camera manufacturing
8017,Camera or photograph supplies stores-retail
3385,Camera repair
5102,Camouflage work-decorating
5474,Camouflage work-painting-
9015,Camp operation NOC
1472,Camphine manufacturing
3220,Can manufacturing
8264,Can recycling-beverage-
4557,Candle manufacturing
2041,Candy manufacturing
2111,Cannery NOC
2111,Cannery: maintenance & security employees
2111,Canning-motor oil
2111,canning-turpentine
6834,Canoe building
2576,Canvas goods manufacturing NOC-shop
5102,"Canvas goods, awning or tent erection, removal or repair"
5102,"Canvas sidewalls-erection-at ballparks, etc."
3881,Car manufacturing-railroad-
3082,Car wheel manufacturing-railroad
4635,Carbon dioxide manufacturing-
4251,Carbon paper or typewriter ribbon manufacturing
2157,"Carbonated beverage manufacturing NOC & route supervisors, drivers"
